GeneName	DepMapGeneName
A1BG	A1BG
A1CF	A1CF
A2M	A2M
A2ML1	A2ML1
A3GALT2	A3GALT2
A4GALT	A4GALT
A4GNT	A4GNT
AAAS	AAAS
AACS	AACS
AADAC	AADAC
AADACL2	AADACL2
AADACL3	AADACL3
AADACL4	AADACL4
AADAT	AADAT
AAGAB	AAGAB
AAK1	AAK1
AAMDC	AAMDC
AAMP	AAMP
AANAT	AANAT
AAR2	AAR2
AARD	AARD
AARS1	AARS1
AARS2	AARS2
AARSD1	AARSD1
AASDH	AASDH
AASDHPPT	AASDHPPT
AASS	AASS
AATF	AATF
AATK	AATK
ABAT	ABAT
ABCA1	ABCA1
ABCA10	ABCA10
ABCA12	ABCA12
ABCA13	ABCA13
ABCA2	ABCA2
ABCA3	ABCA3
ABCA4	ABCA4
ABCA5	ABCA5
ABCA6	ABCA6
ABCA7	ABCA7
ABCA8	ABCA8
ABCA9	ABCA9
ABCB1	ABCB1
ABCB10	ABCB10
ABCB11	ABCB11
ABCB4	ABCB4
ABCB5	ABCB5
ABCB6	ABCB6
ABCB7	ABCB7
ABCB8	ABCB8
ABCB9	ABCB9
ABCC1	ABCC1
ABCC10	ABCC10
ABCC11	ABCC11
ABCC12	ABCC12
ABCC2	ABCC2
ABCC3	ABCC3
ABCC4	ABCC4
ABCC5	ABCC5
ABCC6	ABCC6
ABCC8	ABCC8
ABCC9	ABCC9
ABCD1	ABCD1
ABCD2	ABCD2
ABCD3	ABCD3
ABCD4	ABCD4
ABCE1	ABCE1
ABCF1	ABCF1
ABCF3	ABCF3
ABCG1	ABCG1
ABCG2	ABCG2
ABCG4	ABCG4
ABCG5	ABCG5
ABCG8	ABCG8
ABHD1	ABHD1
ABHD10	ABHD10
ABHD11	ABHD11
ABHD12	ABHD12
ABHD12B	ABHD12B
ABHD13	ABHD13
ABHD14A	ABHD14A
ABHD14B	ABHD14B
ABHD15	ABHD15
ABHD16A	ABHD16A
ABHD16B	ABHD16B
ABHD17A	ABHD17A
ABHD17B	ABHD17B
ABHD17C	ABHD17C
ABHD18	ABHD18
ABHD2	ABHD2
ABHD3	ABHD3
ABHD4	ABHD4
ABHD5	ABHD5
ABHD6	ABHD6
ABHD8	ABHD8
ABI1	ABI1
ABI2	ABI2
ABI3	ABI3
ABI3BP	ABI3BP
ABITRAM	ABITRAM
ABL1	ABL1
ABL2	ABL2
ABLIM1	ABLIM1
ABLIM2	ABLIM2
ABLIM3	ABLIM3
ABR	ABR
ABRA	ABRA
ABRACL	ABRACL
ABRAXAS1	ABRAXAS1
ABRAXAS2	ABRAXAS2
ABT1	ABT1
ABTB1	ABTB1
ABTB2	ABTB2
BTBD11	ABTB3
ACAA1	ACAA1
ACAA2	ACAA2
ACACA	ACACA
ACACB	ACACB
ACAD10	ACAD10
ACAD11	ACAD11
ACAD8	ACAD8
ACAD9	ACAD9
ACADL	ACADL
ACADM	ACADM
ACADS	ACADS
ACADSB	ACADSB
ACADVL	ACADVL
ACAN	ACAN
ACAP1	ACAP1
ACAP2	ACAP2
ACAP3	ACAP3
ACAT1	ACAT1
ACAT2	ACAT2
ACBD3	ACBD3
ACBD4	ACBD4
ACBD5	ACBD5
ACBD6	ACBD6
ACBD7	ACBD7
ACCS	ACCS
ACCSL	ACCSL
ACD	ACD
ACE	ACE
ACE2	ACE2
ACER1	ACER1
ACER2	ACER2
ACER3	ACER3
ACHE	ACHE
ACIN1	ACIN1
