source	target	weight
ERBB2	MIEN1	0.9230769230769231
ERBB2	NEUROD2	0.7692307692307693
ERBB2	PGAP3	1.0
ERBB2	PNMT	0.8461538461538461
ERBB2	STARD3	0.7692307692307693
ERBB2	TCAP	0.8461538461538461
MIEN1	ERBB2	0.9230769230769231
MIEN1	NEUROD2	0.6923076923076923
MIEN1	PGAP3	0.9230769230769231
MIEN1	PNMT	0.7692307692307693
MIEN1	STARD3	0.6923076923076923
MIEN1	TCAP	0.7692307692307693
NEUROD2	ERBB2	0.7692307692307693
NEUROD2	MIEN1	0.6923076923076923
NEUROD2	PGAP3	0.7692307692307693
NEUROD2	PNMT	0.9090909090909091
NEUROD2	STARD3	1.0
NEUROD2	TCAP	0.9090909090909091
PGAP3	ERBB2	1.0
PGAP3	MIEN1	0.9230769230769231
PGAP3	NEUROD2	0.7692307692307693
PGAP3	PNMT	0.8461538461538461
PGAP3	STARD3	0.7692307692307693
PGAP3	TCAP	0.8461538461538461
PNMT	ERBB2	0.8461538461538461
PNMT	MIEN1	0.7692307692307693
PNMT	NEUROD2	0.9090909090909091
PNMT	PGAP3	0.8461538461538461
PNMT	STARD3	0.9090909090909091
PNMT	TCAP	1.0
STARD3	ERBB2	0.7692307692307693
STARD3	MIEN1	0.6923076923076923
STARD3	NEUROD2	1.0
STARD3	PGAP3	0.7692307692307693
STARD3	PNMT	0.9090909090909091
STARD3	TCAP	0.9090909090909091
TCAP	ERBB2	0.8461538461538461
TCAP	MIEN1	0.7692307692307693
TCAP	NEUROD2	0.9090909090909091
TCAP	PGAP3	0.8461538461538461
TCAP	PNMT	1.0
TCAP	STARD3	0.9090909090909091
ASH2L	PLPP5	0.8571428571428571
ASH2L	ANO1	0.23076923076923078
ASH2L	CCND1	0.14285714285714285
ASH2L	FADD	0.15384615384615385
PLPP5	ASH2L	0.8571428571428571
PLPP5	ANO1	0.25
PLPP5	CCND1	0.15384615384615385
PLPP5	FADD	0.16666666666666666
ANO1	ASH2L	0.23076923076923078
ANO1	PLPP5	0.25
ANO1	CCND1	0.8
ANO1	FADD	0.8888888888888888
CCND1	ASH2L	0.14285714285714285
CCND1	PLPP5	0.15384615384615385
CCND1	ANO1	0.8
CCND1	FADD	0.8888888888888888
FADD	ASH2L	0.15384615384615385
FADD	PLPP5	0.16666666666666666
FADD	ANO1	0.8888888888888888
FADD	CCND1	0.8888888888888888
BMP8B	OXCT2	1.0
OXCT2	BMP8B	1.0
