source	target	weight
TRMT12	BCAS4	0.16666666666666666
TRMT12	ERBB2	0.0625
TRMT12	MIEN1	0.06666666666666667
TRMT12	PGAP3	0.0625
TRMT12	TCAP	0.07142857142857142
BCAS4	TRMT12	0.16666666666666666
BCAS4	ERBB2	0.06666666666666667
BCAS4	MIEN1	0.07142857142857142
BCAS4	PGAP3	0.06666666666666667
BCAS4	TCAP	0.07692307692307693
ERBB2	TRMT12	0.0625
ERBB2	BCAS4	0.06666666666666667
ERBB2	GSDMA	0.38461538461538464
ERBB2	MIEN1	0.9230769230769231
ERBB2	PGAP3	1.0
ERBB2	TCAP	0.8461538461538461
ERBB2	THRA	0.3076923076923077
ERBB2	RAPGEFL1	0.23076923076923078
ERBB2	RARA	0.23076923076923078
GSDMA	ERBB2	0.38461538461538464
GSDMA	MIEN1	0.4166666666666667
GSDMA	PGAP3	0.38461538461538464
GSDMA	TCAP	0.45454545454545453
GSDMA	THRA	0.8
GSDMA	RAPGEFL1	0.3333333333333333
GSDMA	RARA	0.3333333333333333
MIEN1	TRMT12	0.06666666666666667
MIEN1	BCAS4	0.07142857142857142
MIEN1	ERBB2	0.9230769230769231
MIEN1	GSDMA	0.4166666666666667
MIEN1	PGAP3	0.9230769230769231
MIEN1	TCAP	0.7692307692307693
MIEN1	THRA	0.3333333333333333
MIEN1	RAPGEFL1	0.25
MIEN1	RARA	0.25
PGAP3	TRMT12	0.0625
PGAP3	BCAS4	0.06666666666666667
PGAP3	ERBB2	1.0
PGAP3	GSDMA	0.38461538461538464
PGAP3	MIEN1	0.9230769230769231
PGAP3	TCAP	0.8461538461538461
PGAP3	THRA	0.3076923076923077
PGAP3	RAPGEFL1	0.23076923076923078
PGAP3	RARA	0.23076923076923078
TCAP	TRMT12	0.07142857142857142
TCAP	BCAS4	0.07692307692307693
TCAP	ERBB2	0.8461538461538461
TCAP	GSDMA	0.45454545454545453
TCAP	MIEN1	0.7692307692307693
TCAP	PGAP3	0.8461538461538461
TCAP	THRA	0.36363636363636365
TCAP	RAPGEFL1	0.2727272727272727
TCAP	RARA	0.2727272727272727
THRA	ERBB2	0.3076923076923077
THRA	GSDMA	0.8
THRA	MIEN1	0.3333333333333333
THRA	PGAP3	0.3076923076923077
THRA	TCAP	0.36363636363636365
THRA	RAPGEFL1	0.4
THRA	RARA	0.4
PLPP5	MOGAT2	0.125
MOGAT2	PLPP5	0.125
BMP8B	OXCT2	1.0
OXCT2	BMP8B	1.0
PDHX	FGFR2	0.3333333333333333
ASZ1	CAV1	1.0
ASZ1	CAV2	1.0
CAV1	ASZ1	1.0
CAV1	CAV2	1.0
CAV2	ASZ1	1.0
CAV2	CAV1	1.0
FGFR2	PDHX	0.3333333333333333
RAPGEFL1	ERBB2	0.23076923076923078
RAPGEFL1	GSDMA	0.3333333333333333
RAPGEFL1	MIEN1	0.25
RAPGEFL1	PGAP3	0.23076923076923078
RAPGEFL1	TCAP	0.2727272727272727
RAPGEFL1	THRA	0.4
RAPGEFL1	RARA	1.0
RARA	ERBB2	0.23076923076923078
RARA	GSDMA	0.3333333333333333
RARA	MIEN1	0.25
RARA	PGAP3	0.23076923076923078
RARA	TCAP	0.2727272727272727
RARA	THRA	0.4
RARA	RAPGEFL1	1.0
