id,label,oncogene_status
1,CASC15,False
2,CDKAL1,False
3,E2F3,True
4,HDGFL1,False
5,NBAT1,False
6,PRL,False
7,SOX4,True
8,ARPC4,False
9,ARPC4-TTLL3,False
10,ATG7,False
11,ATP2B2,False
12,ATP2B2-IT2,False
13,BRK1,False
14,BRPF1,False
15,CAMK1,False
16,CAND2,False
17,CIDEC,False
18,CIDECP1,False
19,CPNE9,False
20,CRELD1,False
21,EMC3,False
22,EMC3-AS1,False
23,FANCD2,True
24,FANCD2OS,False
25,FBLN2,False
26,FGD5P1,False
27,GHRL,False
28,GHRLOS,False
29,HDAC11,False
30,HDAC11-AS1,False
31,HRH1,False
32,IL17RC,False
33,IL17RE,False
34,IQSEC1,False
35,IRAK2,False
36,JAGN1,False
37,LHFPL4,False
38,MKRN2,False
39,MKRN2OS,False
40,MTMR14,False
41,NUP210,False
42,OGG1,False
43,PPARG,True
44,PRRT3,False
45,PRRT3-AS1,False
46,RAF1,True
47,RPL32,False
48,RPUSD3,False
49,SEC13,False
50,SETD5,False
51,SLC6A1,False
52,SLC6A1-AS1,False
53,SLC6A11,False
54,SNORA7A,False
55,SNORA93,False
56,SRGAP3,True
57,SRGAP3-AS2,False
58,SRGAP3-AS3,False
59,SRGAP3-AS4,False
60,SYN2,False
61,TADA3,False
62,TAMM41,False
63,TATDN2,False
64,THUMPD3,False
65,THUMPD3-AS1,False
66,TIMP4,False
67,TMEM40,False
68,TPRXL,False
69,TSEN2,False
70,TTLL3,False
71,VGLL4,False
72,VHL,True
73,WNT7A,False
74,MTSS1,False
75,NDUFB9,False
76,NSMCE2,False
77,SQLE,False
78,TATDN1,False
79,TRIB1,True
80,WASHC5,False
81,ZNF572,False
82,ATP6V1H,False
83,LYN,False
84,LYPLA1,False
85,MRPL15,False
86,NPBWR1,False
87,OPRK1,False
88,RB1CC1,False
89,RGS20,False
90,RNU105C,False
91,RP1,False
92,SBF1P1,False
93,SNORA1B,False
94,SOX17,False
95,TCEA1,True
96,TGS1,False
97,TMEM68,False
98,XKR4,False
99,AHCY,False
100,DUSP26,True
101,DYNLRB1,False
102,FUT10,False
103,ITCH,False
104,MAK16,False
105,MAP1LC3A,False
106,RNF122,False
107,SNORD13,False
108,TTI2,False
109,IGLL5,False
110,TFRC,True
111,FSTL5,False
112,ANGPT4,False
113,C20orf202,False
114,CSNK2A1,True
115,FAM110A,False
116,FKBP1A,False
117,FKBP1A-SDCBP2,False
118,NSFL1C,False
119,PSMF1,False
120,RAD21L1,False
121,RSPO4,False
122,SCRT2,False
123,SDCBP2,False
124,SDCBP2-AS1,False
125,SIRPB2,False
126,SIRPB3P,False
127,SIRPD,False
128,SIRPG,False
129,SIRPG-AS1,False
130,SLC52A3,False
131,SNPH,False
132,SRXN1,False
133,TCF15,False
134,TMEM74B,False
135,ACAA1,False
136,DLEC1,False
137,MYD88,True
138,OXSR1,False
139,PLCD1,False
140,SLC22A13,False
141,SLC22A14,False
142,VILL,False
143,ANXA13,False
144,ATAD2,False
145,C8orf76,False
146,C8orf89,False
147,CALB1,False
148,CASC11,False
149,CASC19,False
150,CASC21,False
151,CASC8,False
152,CASC9,False
153,CCAT1,False
154,CCAT2,False
155,CCN3,True
156,CNBD1,False
157,COL14A1,False
158,COLEC10,False
159,CSMD3,False
160,DCAF4L2,False
161,DECR1,False
162,DEPTOR,False
163,DERL1,False
164,DSCC1,False
165,ELOC,False
166,ENPP2,False
167,FAM83A,False
168,FAM83A-AS1,False
169,FAM91A1,False
170,FBXO32,False
171,FER1L6,False
172,FER1L6-AS1,False
173,FER1L6-AS2,False
174,GDAP1,False
175,HAS2,False
176,HAS2-AS1,False
177,HEY1,True
178,HNF4G,False
179,IL7,False
180,JPH1,False
181,KCNB2,False
182,KLHL38,False
183,KRT33A,False
184,KRT33B,False
185,KRT34,False
186,KRTAP16-1,False
187,KRTAP17-1,False
188,KRTAP29-1,False
189,KRTAP4-1,False
190,KRTAP4-11,False
191,KRTAP4-12,False
192,KRTAP4-2,False
193,KRTAP4-3,False
194,KRTAP4-4,False
195,KRTAP4-5,False
196,KRTAP4-6,False
197,KRTAP4-8,False
198,KRTAP4-9,False
199,KRTAP9-1,False
200,KRTAP9-2,False
201,KRTAP9-3,False
202,KRTAP9-4,False
203,KRTAP9-6,False
204,KRTAP9-7,False
205,KRTAP9-8,False
206,KRTAP9-9,False
207,LY96,False
208,MAL2,False
209,MAL2-AS1,False
210,MMP16,False
211,MRPL13,False
212,MRPS28,False
213,MSC,False
214,MSC-AS1,False
215,MTBP,False
216,MYC,True
217,NBN,False
218,OSGIN2,False
219,PCAT1,False
220,PCAT2,False
221,PEX2,False
222,PKIA,False
223,PKIA-AS1,False
224,POU5F1B,False
225,PRNCR1,False
226,RDH10,False
227,RDH10-AS1,False
228,RIPK2,False
229,RNF139,False
230,RNF139-AS1,False
231,RPL7,False
232,SAMD12,False
233,SAMD12-AS1,False
234,SBSPON,False
235,SMILR,False
236,SNTB1,False
237,STAU2,False
238,STAU2-AS1,False
239,STMN2,False
240,TAF2,False
241,TBC1D31,False
242,TERF1,False
243,TMEM65,False
244,TMEM70,False
245,TMEM75,False
246,TNFRSF11B,False
247,TPD52,True
248,TRMT12,False
249,TRPA1,False
250,TRPS1,False
251,UBE2W,False
252,WDYHV1,False
253,ZBTB10,False
254,ZC2HC1A,False
255,ZFHX4,False
256,ZFHX4-AS1,False
257,ZHX1,False
258,ZHX1-C8orf76,False
259,ZHX2,False
260,ZNF704,False
261,MDFIC,False
262,FZD8,False
263,GJD4,False
264,PCAT5,False
265,ALOX5AP,False
266,B3GLCT,False
267,EEF1DP3,False
268,HMGB1,False
269,HSPH1,False
270,KATNAL1,False
271,MEDAG,False
272,RXFP2,False
273,TEX26,False
274,TEX26-AS1,False
275,UBE2L5,False
276,USPL1,False
277,AKNAD1,False
278,AMIGO1,False
279,AMPD2,False
280,ATXN7L2,False
281,C1orf194,False
282,CELSR2,False
283,CLCC1,False
284,CYB561D1,False
285,EPS8L3,False
286,FNDC7,False
287,GNAI3,False
288,GNAT2,False
289,GPR61,False
290,GPSM2,False
291,GSTM1,False
292,GSTM2,False
293,GSTM3,False
294,GSTM4,False
295,GSTM5,False
296,KIAA1324,False
297,MYBPHL,False
298,PSMA5,False
299,PSRC1,False
300,SARS1,False
301,SCARNA2,False
302,SORT1,False
303,SPATA42,False
304,STXBP3,False
305,SYPL2,False
306,TAF13,False
307,TMEM167B,False
308,WDR47,False
309,EAF2,False
310,GOLGB1,False
311,IQCB1,False
312,SLC15A2,False
313,ADA,False
314,ADNP,False
315,ADNP-AS1,False
316,ANKRD60,False
317,APCDD1L,False
318,APCDD1L-DT,False
319,ATP9A,False
320,AURKA,True
321,BCAS1,False
322,BCAS4,False
323,BMP7,True
324,BMP7-AS1,False
325,C20orf85,False
326,CASS4,False
327,CBLN4,False
328,CCN5,False
329,CEBPB,False
330,CEBPB-AS1,False
331,CSTF1,False
332,CTCFL,False
333,CYP24A1,True
334,DOK5,False
335,DPM1,False
336,FAM209A,False
337,FAM209B,False
338,FAM210B,False
339,GCNT7,False
340,KCNG1,False
341,KCNK15,False
342,KCNK15-AS1,False
343,KCNS1,False
344,MC3R,False
345,MOCS3,False
346,MTRNR2L3,False
347,NFATC2,False
348,NKILA,False
349,NPEPL1,False
350,PABPC1L,False
351,PARD6B,False
352,PCK1,False
353,PFDN4,False
354,PI3,False
355,PKIG,False
356,PMEPA1,False
357,PPP4R1L,False
358,PTPN1,False
359,RAB22A,True
360,RAE1,False
361,RBM38,False
362,RIMS4,False
363,RIPOR3,False
364,RNF114,False
365,RTF2,False
366,SALL4,True
367,SEMG1,False
368,SEMG2,False
369,SERINC3,False
370,SLC9A8,False
371,SMIM25,False
372,SNAI1,True
373,SPATA2,False
374,SPO11,False
375,STK4,False
376,STK4-AS1,False
377,STX16,False
378,STX16-NPEPL1,False
379,SUMO1P1,False
380,TFAP2C,False
381,TMEM189,False
382,TMEM189-UBE2V1,False
383,TOMM34,False
384,TRERNA1,False
385,TSHZ2,False
386,TTPAL,False
387,UBE2V1,False
388,VAPB,False
389,WFDC12,False
390,WFDC5,False
391,YWHAB,False
392,ZBP1,False
393,ZFP64,False
394,ZNF217,True
395,ABCC3,False
396,ABI3,False
397,ACACA,False
398,ACSF2,False
399,AMZ2P1,False
400,ANKRD40,False
401,ANKRD40CL,False
402,APPBP2,False
403,ARHGAP23,False
404,ARL5C,False
405,ATP5MC1,False
406,B4GALNT2,False
407,BCAS3,False
408,C17orf64,False
409,C17orf78,False
410,C17orf98,False
411,CA4,False
412,CACNA1G,False
413,CACNA1G-AS1,False
414,CACNB1,False
415,CALCOCO2,False
416,CDK12,True
417,CHAD,False
418,CISD3,False
419,CLTC,True
420,COL1A1,True
421,CSF3,True
422,CWC25,False
423,DDX52,False
424,DHX40,False
425,DLX3,False
426,DLX4,False
427,DUSP14,False
428,EME1,False
429,EPN3,False
430,EPOP,False
431,EPX,False
432,ERBB2,True
433,FAM117A,False
434,FBXL20,False
435,FBXO47,False
436,FLJ40194,False
437,FLJ45513,False
438,GDPD1,False
439,GIP,False
440,GNGT2,False
441,GPR179,False
442,GRB7,False
443,GSDMA,False
444,GSDMB,False
445,H1-9P,False
446,HEATR6,False
447,HNF1B,False
448,HOXB-AS1,False
449,HOXB-AS3,False
450,HOXB1,False
451,HOXB13,False
452,HOXB2,False
453,HOXB3,False
454,HOXB4,False
455,HOXB5,False
456,HOXB6,False
457,HOXB7,False
458,HOXB8,False
459,HOXB9,False
460,HSF5,False
461,IGF2BP1,True
462,IKZF3,False
463,ITGA3,True
464,KAT7,False
465,KIF2B,False
466,LASP1,True
467,LPO,False
468,LRRC37A11P,False
469,LRRC3C,False
470,LRRC59,False
471,LUC7L3,False
472,MED1,False
473,MED24,False
474,MIEN1,True
475,MKS1,False
476,MLLT6,True
477,MPO,False
478,MRPL27,False
479,MRPL45,False
480,MSX2P1,False
481,MTMR4,False
482,MYCBPAP,False
483,NEUROD2,False
484,NGFR,False
485,NXPH3,False
